title,author,year,isbn
Harry Potter and the Philosopher's Stone,J.K. Rowling,1997,9780747532699
The Hobbit,J.R.R. Tolkien,1937,9780048232384
To Kill a Mockingbird,Harper Lee,1960,9780061120084
1984,George Orwell,1949,9780451524935
Pride and Prejudice,Jane Austen,1813,9781503290563
The Great Gatsby,F. Scott Fitzgerald,1925,9780743273565
The Catcher in the Rye,J.D. Salinger,1951,9780316769488
The Da Vinci Code,Dan Brown,2003,9780307474278
The Alchemist,Paulo Coelho,1988,9780061122415
Sherlock Holmes: A Study in Scarlet,Arthur Conan Doyle,1887,9780141034355
Brave New World,Aldous Huxley,1932,9780060850524
Jane Eyre,Charlotte Brontë,1847,9780141441146
The Lord of the Rings,J.R.R. Tolkien,1954,9780618640157
The Chronicles of Narnia,C.S. Lewis,1950,9780066238503
Animal Farm,George Orwell,1945,9780451526342
Wuthering Heights,Emily Brontë,1847,9780141439556
The Kite Runner,Khaled Hosseini,2003,9781594631931
The Book Thief,Markus Zusak,2005,9780375842207
The Fault in Our Stars,John Green,2012,9780525478812
Life of Pi,Yann Martel,2001,9780156027328
